Product A,Product B,Cosine Similarity
Bondi Sands Aero Self Tanning Foam 225Ml,Tesco Tyre And Bumper Shine 500Ml,0.4494359935343424
Tesco 4 Inch Roller,"Tesco Loss Free Brush 2""",0.4473354160307902
Bondi Sands Aero Self Tanning Foam 225Ml,Skinny Tan Coconut Water Tanning Mist 150Ml,0.4430687448964525
Scentos On The Go Activity Bags,Sugar Rush Scented Cloud Sand,0.4411592598310257
Bondi Sands 1 Hour Express Foam 225Ml,Tesco Tyre And Bumper Shine 500Ml,0.43355279763580096
Tesco Numerical Candle 1,Tesco 180Mm Combination Pliers,0.4296380392723408
Gorilla Heavy Duty Mounting Tape,Gorilla Tape Handy Roll 9Mtr,0.42419579028229215
Bondi Sands 1 Hour Express Foam 225Ml,Skinny Tan Coconut Water Tanning Mist 150Ml,0.4214678695139629
Tesco Heart Balloons 10 Pack,Pink Balloon Arch 60 Balloons,0.41737759381715644
Command Large Canvas Hanger,Command White Wire Hooks 2 Pack,0.4166692829472358
Tesco Age 30 Balloons 6 Pack,Pink Balloon Arch 60 Balloons,0.415834092624492
Unibond Whiteteq Expanding Foam,Tesco Tyre And Bumper Shine 500Ml,0.4155935766379195
Tesco Heart Balloons 10 Pack,Blue Balloon Arch 60 Balloons,0.4155113826027009
Tesco Age 40 Balloons 6 Pack,Pink Balloon Arch 60 Balloons,0.4147046246524791
Tesco Age 18 Balloons 6 Pack,Pink Balloon Arch 60 Balloons,0.4147046246524791
Tesco Age 30 Balloons 6 Pack,Blue Balloon Arch 60 Balloons,0.4139747828328198
Yankee Candle Fluffy Towel Car Air Freshener,Yankee Candle Clean Cotton Car Air Freshener,0.4134040323632743
Tesco Crystal Balloons 10 Pack,Pink Balloon Arch 60 Balloons,0.41333576415987056
Tesco Age 18 Balloons 6 Pack,Blue Balloon Arch 60 Balloons,0.4128503650259977
Tesco Age 40 Balloons 6 Pack,Blue Balloon Arch 60 Balloons,0.4128503650259977
Tesco Age 21 Balloons 6 Pack,Pink Balloon Arch 60 Balloons,0.4119847502859824
Tesco Crystal Balloons 10 Pack,Blue Balloon Arch 60 Balloons,0.4114876250890687
Pink Balloon Arch 60 Balloons,Tesco Silver Balloons 10 Pack,0.4113035184100273
Pink Balloon Arch 60 Balloons,Tesco Star Balloon 10 Pack,0.41117524841615793
Command Large Canvas Hanger,Command Small Hooks Value Pack 6 Pc,0.4105997515030914
Tesco Age 21 Balloons 6 Pack,Blue Balloon Arch 60 Balloons,0.4101426519736681
Tesco Neon Balloons 10 Pack,Pink Balloon Arch 60 Balloons,0.4095623457350629
Blue Balloon Arch 60 Balloons,Tesco Silver Balloons 10 Pack,0.40946446607475007
Blue Balloon Arch 60 Balloons,Tesco Star Balloon 10 Pack,0.40933676961167054
Pink Balloon Arch 60 Balloons,Tesco Happy B Day Balloons Pink 10 Pack,0.40872002767597987
Command Large Canvas Hanger,Command Clear Utensil Hooks 3 Hook 4 Strips,0.4079323956302175
Tesco Neon Balloons 10 Pack,Blue Balloon Arch 60 Balloons,0.40773107866670083
Blue Balloon Arch 60 Balloons,Tesco Happy B Day Balloons Pink 10 Pack,0.4068925268457468
Redex Adblue 4Lt,Tesco Glass And Insect Cleaner 500Ml,0.4046989937315224
Pink Balloon Arch 60 Balloons,Tesco Birthday Girl Balloons 10 Pack,0.40394710448481164
Pinata Stick And Mask,Rubber Ducks 4 Pack,0.4024057764791206
Blue Balloon Arch 60 Balloons,Tesco Birthday Girl Balloons 10 Pack,0.4021409447205989
Tesco Numerical Candle 1,Tesco 8Oz Stubby Claw Hammer,0.40043631611326896
T.Tiaras 6 Pack,Tesco Mix It Up Game,0.3958544594638342
Command Large Canvas Hanger,Command Decorate Clip Value Pack 40 Clips 48 Strips,0.39313271515397863
Skinny Tan Moisture Mousse Express 150Ml,Bondi Sands 1 Hour Express Foam 225Ml,0.38969834108777185
Yankee Candle Fluffy Towel Car Air Freshener,Yankee Candle Black Cherry Car Jar Air Freshener,0.38266302214686787
Master Lock 40Mm Padlock Hardend Steel Shackle,Master Lock 40Mm Black Aluminium Combination Padlock,0.38186243311877854
Tesco Mix It Up Game,Tesco Unicorn Scratch Mask 6 Pack,0.38080729186032297
Command Picture Hanging Small Value Pack 12 Sets,Command Large Canvas Hanger,0.37953752820284087
Master Lock 30Mm Solid Aluminium Padlock,Master Lock 40Mm Black Aluminium Combination Padlock,0.37749024428798283
Command Large Canvas Hanger,Command Matte Hook,0.3734181003440942
Yankee Candle Clean Cotton Car Jar Car Air Freshener,Yankee Candle Black Coconut Car Air Freshener,0.3717374988489501
Tesco Superhero Masks 6 Pack,Tesco Mix It Up Game,0.3673167297068282
Bondi Sands Aero Self Tanning Foam 225Ml,Skinny Tan Moisture Mousse Express 150Ml,0.36565101715599246
Yankee Candle Black Coconut Car Air Freshener,Aromatherapy Car Air Freshener Llama,0.36249458980923455
T.Tiaras 6 Pack,Tesco Snakes & Ladders Travel Game,0.3597249812229155
Rubber Ducks 4 Pack,Princess Cone Hat,0.3588023123969794
